annee,code_commune,nom_commune,nb_naissances,nb_places,ratio_places_par_naissance
2017,93078,VILLEPINTE,646,528,0.82
2017,94015,BRY SUR MARNE,198,448,2.26
2017,94071,SUCY EN BRIE,307,365,1.19
2018,75113,PARIS 13E ARRONDISSEMENT,1898,4482,2.36
2018,75114,PARIS 14E ARRONDISSEMENT,1609,3349,2.08
2018,75117,PARIS 17E ARRONDISSEMENT,2353,4711,2.0
2018,91223,ETAMPES,914,526,0.58
2018,92073,SURESNES,702,1689,2.41
2018,94022,CHOISY LE ROI,842,1039,1.23
2018,94080,VINCENNES,650,1606,2.47
2018,95176,CORMEILLES EN PARISIS,344,495,1.44
2022,75102,PARIS 2E ARRONDISSEMENT,211,568,2.69
2022,93050,NEUILLY SUR MARNE,668,801,1.2
2022,94067,SAINT MANDE,273,742,2.72
2022,94074,VALENTON,229,238,1.04
