annee,code_commune,nom_commune,nb_naissances,nb_places,ratio_places_par_naissance
2017,75118,PARIS 18E ARRONDISSEMENT,2903,5055,1.74
2017,92009,BOIS COLOMBES,368,894,2.43
2018,77333,NEMOURS,508,192,0.38
2018,78297,GUYANCOURT,456,1225,2.69
2018,78311,HOUILLES,482,948,1.97
2018,91021,ARPAJON,907,220,0.24
2018,91161,CHILLY MAZARIN,323,534,1.65
2018,91521,RIS ORANGIS,529,663,1.25
2018,91573,SAINT PIERRE DU PERRAY,179,340,1.9
2018,91657,VIGNEUX SUR SEINE,522,609,1.17
2018,92023,CLAMART,678,1241,1.83
2018,93006,BAGNOLET,510,626,1.23
2018,93050,NEUILLY SUR MARNE,582,795,1.37
2022,75117,PARIS 17E ARRONDISSEMENT,2330,4950,2.12
2022,77118,CLAYE SOUILLY,461,194,0.42
2022,77390,ROISSY EN BRIE,289,428,1.48
2022,78126,LA CELLE SAINT CLOUD,211,453,2.15
2022,78646,VERSAILLES,985,2245,2.28
2022,78688,VOISINS LE BRETONNEUX,91,200,2.2
2022,91223,ETAMPES,883,485,0.55
2022,94016,CACHAN,364,636,1.75
2022,94073,THIAIS,512,696,1.36
2022,94075,VILLECRESNES,142,199,1.4
2022,95555,SAINT GRATIEN,315,389,1.23
2017,78517,RAMBOUILLET,658,586,0.89
2017,92024,CLICHY,972,1541,1.59
2017,93079,VILLETANEUSE,269,168,0.62
2019,77333,NEMOURS,515,209,0.41
2019,78624,TRIEL SUR SEINE,147,234,1.59
2019,93051,NOISY LE GRAND,1165,1346,1.16
2019,94028,CRETEIL,1521,2032,1.34
2019,94052,NOGENT SUR MARNE,481,887,1.84
2017,75116,PARIS 16E ARRONDISSEMENT,1632,3071,1.88
2017,78643,VERNOUILLET,130,205,1.58
2017,93050,NEUILLY SUR MARNE,565,706,1.25
2017,94003,ARCUEIL,313,434,1.39
2017,94052,NOGENT SUR MARNE,433,839,1.94
2018,77243,LAGNY SUR MARNE,271,453,1.67
2018,91434,MORSANG SUR ORGE,277,467,1.69
2022,77333,NEMOURS,488,171,0.35
2022,91114,BRUNOY,302,482,1.6
2022,94079,VILLIERS SUR MARNE,552,601,1.09
2022,95203,EAUBONNE,449,710,1.58
2019,77053,BRIE COMTE ROBERT,878,488,0.56
2019,92024,CLICHY,869,1683,1.94
2019,92071,SCEAUX,135,391,2.9
2019,92075,VANVES,252,559,2.22
2019,94058,LE PERREUX SUR MARNE,415,787,1.9
2019,95598,SOISY SOUS MONTMORENCY,211,338,1.6
2022,77445,SAVIGNY LE TEMPLE,399,605,1.52
2022,91201,DRAVEIL,377,787,2.09
2022,92019,CHATENAY MALABRY,453,725,1.6
2022,94019,CHENNEVIERES SUR MARNE,262,344,1.31
2018,77152,DAMMARIE LES LYS,368,528,1.43
2018,91552,SAINT GERMAIN LES ARPAJON,137,201,1.47
2018,91645,VERRIERES LE BUISSON,105,255,2.43
2018,93010,BONDY,1074,1018,0.95
2018,93061,LE PRE SAINT GERVAIS,260,352,1.35
2018,94069,SAINT MAURICE,214,364,1.7
2017,77152,DAMMARIE LES LYS,383,545,1.42
2017,78126,LA CELLE SAINT CLOUD,234,478,2.04
2017,91286,GRIGNY,618,549,0.89
2017,95572,SAINT OUEN L AUMONE,410,572,1.4
2019,77285,LE MEE SUR SEINE,370,502,1.36
2019,91086,BONDOUFLE,116,252,2.17
2019,93063,ROMAINVILLE,556,707,1.27
2019,94080,VINCENNES,634,1658,2.62
2019,95210,ENGHIEN LES BAINS,153,351,2.29
2017,91215,EPINAY SOUS SENART,201,271,1.35
2017,92002,ANTONY,826,1511,1.83
2017,93057,LES PAVILLONS SOUS BOIS,470,437,0.93
2017,95323,JOUY LE MOUTIER,233,390,1.67
2018,77131,COULOMMIERS,884,339,0.38
2018,77350,OZOIR LA FERRIERE,196,422,2.15
2018,78335,LIMAY,350,399,1.14
2018,78643,VERNOUILLET,126,207,1.64
2018,91027,ATHIS MONS,662,768,1.16
2018,93007,LE BLANC MESNIL,1045,540,0.52
2018,94073,THIAIS,465,630,1.35
2018,94076,VILLEJUIF,841,1187,1.41
2018,95280,GOUSSAINVILLE,556,340,0.61
2022,91421,MONTGERON,286,479,1.67
2022,95277,GONESSE,541,455,0.84
2017,77464,THORIGNY SUR MARNE,128,203,1.59
2017,77487,VAUX LE PENIL,107,274,2.56
2018,95427,MONTMAGNY,262,275,1.05
2019,75113,PARIS 13E ARRONDISSEMENT,1845,4533,2.46
2019,75116,PARIS 16E ARRONDISSEMENT,1506,3254,2.16
2019,77294,MITRY MORY,288,378,1.31
2019,78642,VERNEUIL SUR SEINE,203,328,1.62
2019,91201,DRAVEIL,378,694,1.84
2019,91687,VIRY CHATILLON,552,733,1.33
2019,92032,FONTENAY AUX ROSES,288,510,1.77
2019,92073,SURESNES,732,1662,2.27
2019,94015,BRY SUR MARNE,232,454,1.96
2019,94021,CHEVILLY LARUE,271,397,1.46
2019,94041,IVRY SUR SEINE,998,1312,1.31
2019,94077,VILLENEUVE LE ROI,299,375,1.25
2017,91200,DOURDAN,297,224,0.75
2017,93066,SAINT DENIS,2919,2015,0.69
2017,95500,PONTOISE,504,679,1.35
2018,77468,TORCY,384,567,1.48
2018,78423,MONTIGNY LE BRETONNEUX,379,997,2.63
2018,93031,EPINAY SUR SEINE,999,848,0.85
2018,93062,LE RAINCY,216,317,1.47
2018,95313,L'ISLE ADAM,335,217,0.65
2018,95210,ENGHIEN LES BAINS,159,336,2.11
2022,75111,PARIS 11E ARRONDISSEMENT,1586,3826,2.41
2022,77131,COULOMMIERS,859,334,0.39
2022,77186,FONTAINEBLEAU,656,275,0.42
2022,77350,OZOIR LA FERRIERE,236,454,1.92
2022,77407,SAINT FARGEAU PONTHIERRY,608,344,0.57
2022,78165,LES CLAYES SOUS BOIS,202,389,1.93
2022,78642,VERNEUIL SUR SEINE,180,310,1.72
2022,92040,ISSY LES MOULINEAUX,817,2266,2.77
2022,93007,LE BLANC MESNIL,1028,521,0.51
2019,77258,LOGNES,207,364,1.76
2019,78172,CONFLANS SAINTE HONORINE,477,841,1.76
2019,78498,POISSY,705,1037,1.47
2019,91235,FLEURY MEROGIS,224,294,1.31
2019,94054,ORLY,438,482,1.1
2019,95585,SARCELLES,1102,955,0.87
2022,75119,PARIS 19E ARRONDISSEMENT,2419,5649,2.34
2022,75120,PARIS 20E ARRONDISSEMENT,2026,5154,2.54
2022,77152,DAMMARIE LES LYS,375,483,1.29
2022,77294,MITRY MORY,248,364,1.47
2022,78383,MAUREPAS,254,435,1.71
2022,93008,BOBIGNY,848,849,1.0
2022,93029,DRANCY,1173,818,0.7
2022,93049,NEUILLY PLAISANCE,262,356,1.36
2022,93051,NOISY LE GRAND,1173,1441,1.23
2022,94037,GENTILLY,243,447,1.84
2018,77305,MONTEREAU FAULT YONNE,1238,312,0.25
2018,78361,MANTES LA JOLIE,2828,595,0.21
2018,91201,DRAVEIL,398,731,1.84
2018,94017,CHAMPIGNY SUR MARNE,1164,1371,1.18
2017,78146,CHATOU,370,854,2.31
2017,78372,MARLY LE ROI,185,467,2.52
2017,78686,VIROFLAY,191,384,2.01
2017,91692,LES ULIS,427,632,1.48
2017,92026,COURBEVOIE,1297,3138,2.42
2017,95219,ERMONT,434,547,1.26
2018,95127,CERGY,1391,1570,1.13
2018,95563,SAINT LEU LA FORET,168,312,1.86
2019,77445,SAVIGNY LE TEMPLE,445,635,1.43
2019,93050,NEUILLY SUR MARNE,561,801,1.43
2019,94079,VILLIERS SUR MARNE,542,536,0.99
2019,95424,MONTIGNY LES CORMEILLES,361,468,1.3
2017,75103,PARIS 3E ARRONDISSEMENT,399,946,2.37
2017,91521,RIS ORANGIS,522,641,1.23
2017,92035,LA GARENNE COLOMBES,426,920,2.16
2017,92044,LEVALLOIS PERRET,1069,2424,2.27
2017,95176,CORMEILLES EN PARISIS,330,481,1.46
2018,75104,PARIS 4E ARRONDISSEMENT,287,758,2.64
2018,75109,PARIS 9E ARRONDISSEMENT,820,1922,2.34
2018,77296,MOISSY CRAMAYEL,296,427,1.44
2018,91114,BRUNOY,304,547,1.8
2018,92025,COLOMBES,1386,2221,1.6
2018,93005,AULNAY SOUS BOIS,1367,1265,0.93
2022,77083,CHAMPS SUR MARNE,327,483,1.48
2022,78073,BOIS D ARCY,207,387,1.87
2022,91086,BONDOUFLE,154,292,1.9
2022,91570,SAINT MICHEL SUR ORGE,308,421,1.37
2022,91692,LES ULIS,409,603,1.47
2022,92026,COURBEVOIE,1014,2778,2.74
2022,92044,LEVALLOIS PERRET,834,2455,2.94
2022,92049,MONTROUGE,573,1534,2.68
2022,92051,NEUILLY SUR SEINE,611,1574,2.58
2022,92060,LE PLESSIS ROBINSON,338,808,2.39
2022,94042,JOINVILLE LE PONT,222,523,2.36
2022,94046,MAISONS ALFORT,733,1391,1.9
2017,77305,MONTEREAU FAULT YONNE,1289,305,0.24
2017,77350,OZOIR LA FERRIERE,199,435,2.19
2017,78029,AUBERGENVILLE,374,235,0.63
2017,78124,CARRIERES SUR SEINE,158,434,2.75
2017,92022,CHAVILLE,282,495,1.76
2019,78440,LES MUREAUX,629,562,0.89
2019,91161,CHILLY MAZARIN,349,434,1.24
2019,93005,AULNAY SOUS BOIS,1378,1299,0.94
2019,94067,SAINT MANDE,285,738,2.59
2019,94069,SAINT MAURICE,225,384,1.71
2019,95280,GOUSSAINVILLE,596,316,0.53
2017,91272,GIF SUR YVETTE,164,425,2.59
2017,92060,LE PLESSIS ROBINSON,363,832,2.29
2017,94067,SAINT MANDE,315,690,2.19
2017,95607,TAVERNY,346,580,1.68
2018,78146,CHATOU,340,843,2.48
2018,91326,JUVISY SUR ORGE,328,356,1.09
2018,92072,SEVRES,241,592,2.46
2018,93014,CLICHY SOUS BOIS,581,331,0.57
2022,77305,MONTEREAU FAULT YONNE,1095,320,0.29
2022,78686,VIROFLAY,194,425,2.19
2019,77131,COULOMMIERS,885,335,0.38
2019,77479,VAIRES SUR MARNE,189,277,1.47
2019,78005,ACHERES,363,500,1.38
2019,91021,ARPAJON,863,218,0.25
2019,91552,SAINT GERMAIN LES ARPAJON,146,197,1.35
2019,94071,SUCY EN BRIE,283,378,1.34
2019,95219,ERMONT,450,632,1.4
2019,95268,GARGES LES GONESSE,743,623,0.84
2022,77296,MOISSY CRAMAYEL,291,434,1.49
2022,78643,VERNOUILLET,120,231,1.93
2022,91021,ARPAJON,809,221,0.27
2022,93055,PANTIN,865,1303,1.51
2022,94003,ARCUEIL,296,499,1.69
2018,92004,ASNIERES SUR SEINE,1547,2652,1.71
2018,92020,CHATILLON,507,1023,2.02
2018,92032,FONTENAY AUX ROSES,308,509,1.65
2017,91114,BRUNOY,304,557,1.83
2017,92020,CHATILLON,527,911,1.73
2017,93027,LA COURNEUVE,753,535,0.71
2017,95063,BEZONS,584,626,1.07
2017,95424,MONTIGNY LES CORMEILLES,390,439,1.13
2018,95018,ARGENTEUIL,2156,2149,1.0
2019,77251,LIEUSAINT,238,437,1.84
2019,77288,MELUN,2795,797,0.29
2019,78124,CARRIERES SUR SEINE,148,370,2.5
2019,78158,LE CHESNAY ROCQUENCOURT,274,666,2.43
2019,78640,VELIZY VILLACOUBLAY,278,830,2.99
2019,78674,VILLEPREUX,135,275,2.04
2019,93055,PANTIN,975,1229,1.26
2019,94073,THIAIS,448,637,1.42
2017,77514,VILLEPARISIS,444,614,1.38
2017,78674,VILLEPREUX,160,274,1.71
2017,91223,ETAMPES,934,521,0.56
2017,91377,MASSY,947,1701,1.8
2017,95563,SAINT LEU LA FORET,191,293,1.53
2018,78688,VOISINS LE BRETONNEUX,104,244,2.35
2018,91272,GIF SUR YVETTE,164,416,2.54
2018,92062,PUTEAUX,714,1553,2.18
2018,95323,JOUY LE MOUTIER,227,388,1.71
2022,75115,PARIS 15E ARRONDISSEMENT,2485,6167,2.48
2022,91200,DOURDAN,265,226,0.85
2017,91235,FLEURY MEROGIS,235,276,1.17
2017,91471,ORSAY,148,324,2.19
2017,93030,DUGNY,213,162,0.76
2019,75114,PARIS 14E ARRONDISSEMENT,1671,3327,1.99
2019,78146,CHATOU,380,809,2.13
2019,78481,LE PECQ,169,364,2.15
2019,92022,CHAVILLE,277,517,1.87
2019,92044,LEVALLOIS PERRET,1021,2419,2.37
2019,93078,VILLEPINTE,730,456,0.62
2019,94076,VILLEJUIF,828,1158,1.4
2019,95277,GONESSE,509,452,0.89
2017,78624,TRIEL SUR SEINE,140,234,1.67
2017,91589,SAVIGNY SUR ORGE,461,763,1.66
2017,93031,EPINAY SUR SEINE,1000,845,0.85
2017,94073,THIAIS,423,649,1.53
2017,95210,ENGHIEN LES BAINS,152,341,2.24
2017,95268,GARGES LES GONESSE,776,578,0.74
2018,75112,PARIS 12E ARRONDISSEMENT,1789,3760,2.1
2018,77053,BRIE COMTE ROBERT,788,416,0.53
2018,78015,ANDRESY,155,298,1.92
2018,91235,FLEURY MEROGIS,237,280,1.18
2018,91589,SAVIGNY SUR ORGE,511,761,1.49
2018,92071,SCEAUX,161,439,2.73
2018,93045,LES LILAS,313,521,1.66
2018,93066,SAINT DENIS,2748,1920,0.7
2018,94015,BRY SUR MARNE,192,460,2.4
2018,94033,FONTENAY SOUS BOIS,656,1304,1.99
2018,94043,LE KREMLIN BICETRE,324,751,2.32
2022,77337,NOISIEL,205,317,1.55
2022,77479,VAIRES SUR MARNE,167,263,1.57
2022,91174,CORBEIL ESSONNES,1000,889,0.89
2022,91215,EPINAY SOUS SENART,173,233,1.35
2022,91691,YERRES,347,859,2.48
2022,92071,SCEAUX,145,449,3.1
2022,94068,SAINT MAUR DES FOSSES,823,1608,1.95
2019,77373,PONTAULT COMBAULT,492,863,1.75
2019,93077,VILLEMOMBLE,460,618,1.34
2022,75108,PARIS 8E ARRONDISSEMENT,332,1106,3.33
2022,77487,VAUX LE PENIL,108,258,2.39
2022,78551,SAINT GERMAIN EN LAYE,451,1061,2.35
2022,91645,VERRIERES LE BUISSON,125,277,2.22
2022,92004,ASNIERES SUR SEINE,1412,2681,1.9
2022,93032,GAGNY,637,699,1.1
2018,75111,PARIS 11E ARRONDISSEMENT,1873,3879,2.07
2018,78208,ELANCOURT,385,761,1.98
2018,91687,VIRY CHATILLON,536,744,1.39
2018,92002,ANTONY,836,1516,1.81
2018,92014,BOURG LA REINE,232,496,2.14
2018,94068,SAINT MAUR DES FOSSES,800,1558,1.95
