nom,type,adresse,code_postal,commune,code_insee,tel,gestion,gestionnaire,capacite,nb_accueil_fam,age_mini_mois,age_maxi_annee,handicap,geo_shape,geo_point_2d
Saint-Cloud Gounod,Micro crèche,18 RUE GOUNOD,92210,SAINT CLOUD,92064,09 66 93 37 15,Privé,Société Crèche Attitude,10.0,,2.5,4.0,,"{""coordinates"": [2.212385999529955, 48.84291299975588], ""type"": ""Point""}","48.84291299975588, 2.212385999529955"
Ségaline,Micro crèche,139 AVENUE DE LA DIVISION LECLERC,92290,CHATENAY MALABRY,92019,,Privé,Société La Maison Bleue - MC IDF 12,10.0,,2.5,4.0,5.0,"{""coordinates"": [2.278923999664684, 48.7626789998148], ""type"": ""Point""}","48.7626789998148, 2.278923999664684"
Tom Pouce,Multi-accueil,4 6 CHEMIN PIERRE DE RONSARD,92400,COURBEVOIE,92026,01 71 05 70 64,Commune,Commune de Courbevoie,20.0,,18.0,4.0,,"{""coordinates"": [2.2318169994683306, 48.89968799970528], ""type"": ""Point""}","48.89968799970528, 2.2318169994683306"
Voltaire,Multi-accueil,1 RUE VOLTAIRE,92000,NANTERRE,92050,01 47 24 55 63,Commune,Commune de Nanterre,59.0,,2.5,4.0,5.0,"{""coordinates"": [2.193168000557285, 48.89850799991727], ""type"": ""Point""}","48.89850799991727, 2.193168000557285"
Abicou,Micro crèche,64 RUE D ESTIENNE D ORVES,92500,RUEIL MALMAISON,92063,,Privé,Société La Maison Bleue - MC IDF 4,10.0,,2.5,4.0,5.0,"{""coordinates"": [2.180239999595619, 48.88654599969631], ""type"": ""Point""}","48.88654599969631, 2.180239999595619"
Amitié Rosiers,Accueil familial,95 RUE DES ROSIERS,92000,NANTERRE,92050,01 47 78 90 89,Commune,Commune de Nanterre,72.0,72.0,2.5,4.0,5.0,"{""coordinates"": [2.2275890004829932, 48.88795900033365], ""type"": ""Point""}","48.88795900033365, 2.2275890004829932"
Anne Sylvestre,Multi-accueil,64 RUE VICTOR HUGO,92130,ISSY LES MOULINEAUX,92040,,Commune,Commune d'Issy-les-Moulineaux,60.0,,2.5,4.0,5.0,"{""coordinates"": [2.2760759993263897, 48.825760000270506], ""type"": ""Point""}","48.825760000270506, 2.2760759993263897"
Arc-en-Ciel,Multi-accueil,27 RUE DU PONT ROYAL,92220,BAGNEUX,92007,01 46 64 66 80,Associatif,Institut d'Education et des Pratiques Citoyennes,45.0,,2.5,4.0,5.0,"{""coordinates"": [2.3180879999228794, 48.792219000220044], ""type"": ""Point""}","48.792219000220044, 2.3180879999228794"
Association familiale catholique de Neuilly,Multi-accueil,94 AVENUE ACHILLE PERETTI,92200,NEUILLY SUR SEINE,92051,01 47 45 37 10,Associatif,Association Familiale Catholique de Neulliy,30.0,,3.0,5.0,,"{""coordinates"": [2.2699399994931952, 48.88438199996596], ""type"": ""Point""}","48.88438199996596, 2.2699399994931952"
Avaulée (Fermé en attente de prend acte 35 places),Multi-accueil,68 RUE AVAULEE,92240,MALAKOFF,92046,01 46 57 97 31,Commune,Commune de Malakoff,35.0,,2.5,4.0,,"{""coordinates"": [2.287876999523608, 48.81453600040184], ""type"": ""Point""}","48.81453600040184, 2.287876999523608"
Babilou Antony Chardonnerets,Multi-accueil,40 RUE DES CHARDONNERETS,92160,ANTONY,92002,01 57 19 03 12,Privé,Société Evancia,45.0,,2.5,4.0,5.0,"{""coordinates"": [2.3072090001137937, 48.735723999730574], ""type"": ""Point""}","48.735723999730574, 2.3072090001137937"
Babilou Asnières Chevreul,Multi-accueil,10 12 AVENUE DE CHEVREUL,92600,ASNIERES SUR SEINE,92004,,Privé,Société Evancia,40.0,,2.5,4.0,5.0,"{""coordinates"": [2.267109000176499, 48.906089000175], ""type"": ""Point""}","48.906089000175, 2.267109000176499"
Babilou Boulogne Blériot,Multi-accueil,210 RUE LOUIS BLERIOT,92100,BOULOGNE BILLANCOURT,92012,01 41 03 63 08,Privé,Société Evancia,36.0,,2.5,4.0,5.0,"{""coordinates"": [2.2364810006241957, 48.83306999999058], ""type"": ""Point""}","48.83306999999058, 2.2364810006241957"
Babilou Châtillon Deforges,Multi-accueil,10 RUE ETIENNE DESFORGES,92320,CHATILLON,92020,01 49 85 18 48,Privé,Société Evancia,54.0,,2.5,4.0,5.0,"{""coordinates"": [2.294407000223715, 48.80631300042298], ""type"": ""Point""}","48.80631300042298, 2.294407000223715"
Babilou Châtillon Edgard Brandt,Multi-accueil,7 ALLEE EDGAR BRANDT,92320,CHATILLON,92020,,Privé,Société Evancia,35.0,,2.5,4.0,5.0,"{""coordinates"": [2.2856840004383674, 48.806119999840895], ""type"": ""Point""}","48.806119999840895, 2.2856840004383674"
Babilou Clichy Barbusse,Multi-accueil,121 RUE HENRI BARBUSSE,92110,CLICHY,92024,,Privé,Société Evancia,18.0,,2.5,4.0,5.0,"{""coordinates"": [2.3102759994822972, 48.90201100021557], ""type"": ""Point""}","48.90201100021557, 2.3102759994822972"
Babilou Issy Verdun,Multi-accueil,174 AVENUE DE VERDUN,92130,ISSY LES MOULINEAUX,92040,01 46 38 03 68,Privé,Société Evancia,65.0,,2.5,4.0,5.0,"{""coordinates"": [2.250124000062488, 48.81796799980634], ""type"": ""Point""}","48.81796799980634, 2.250124000062488"
Babilou Meudon Arnaudet,Multi-accueil,5 BIS RUE DU DOCTEUR ARNAUDET,92190,MEUDON,92048,01 46 26 51 09,Privé,Société Evancia,39.0,,2.5,4.0,5.0,"{""coordinates"": [2.2474830001255, 48.815674999986], ""type"": ""Point""}","48.815674999986, 2.2474830001255"
Babilou Meudon Rivoli,Multi-accueil,2 AVENUE DE RIVOLI,92190,MEUDON,92048,01 46 26 31 30,Privé,Société Evancia,35.0,,2.5,4.0,5.0,"{""coordinates"": [2.249103000149041, 48.81098400003848], ""type"": ""Point""}","48.81098400003848, 2.249103000149041"
Babilou Montrouge Briand,Multi-accueil,93 AVENUE ARISTIDE BRIAND,92120,MONTROUGE,92049,,Privé,Société Evancia,20.0,,2.5,4.0,5.0,"{""coordinates"": [2.326068999322685, 48.814412000367895], ""type"": ""Point""}","48.814412000367895, 2.326068999322685"
Babilou Puteaux Gérhard Les Lumières,Multi-accueil,21 RUE GERHARD,92800,PUTEAUX,92062,,Privé,Société Evancia,60.0,,2.5,5.0,,"{""coordinates"": [2.2372829999052537, 48.877842000213896], ""type"": ""Point""}","48.877842000213896, 2.2372829999052537"
Babilou Rueil Fouilleuse,Multi-accueil,52 AVENUE DE LA FOUILLEUSE,92500,RUEIL MALMAISON,92063,01 47 49 11 42,Privé,Société Evancia,45.0,,2.5,4.0,5.0,"{""coordinates"": [2.194277999847073, 48.86242300014618], ""type"": ""Point""}","48.86242300014618, 2.194277999847073"
Babilou Rueil Louise Baumel,Multi-accueil,11 RUE LOUISE BAUMEL,92500,RUEIL MALMAISON,92063,,Privé,Société Evancia,60.0,,2.5,4.0,5.0,"{""coordinates"": [2.198301999562397, 48.87404900020457], ""type"": ""Point""}","48.87404900020457, 2.198301999562397"
Baby Montessori Antony,Micro crèche,15 RUE FREDERIC CHOPIN,92160,ANTONY,92002,,Privé,Société Baby Montessori 78,12.0,0.0,2.5,4.0,,"{""coordinates"": [2.3123009994185373, 48.74528599993151], ""type"": ""Point""}","48.74528599993151, 2.3123009994185373"
BDR 92 Vanves 42 Jean Jaurès,Micro crèche,42 46 RUE JEAN JAURES,92170,VANVES,92075,,Privé,Société BDR 92 Vanves 42 Jaurès,12.0,,2.5,4.0,5.0,"{""coordinates"": [2.294329000549752, 48.825096999735116], ""type"": ""Point""}","48.825096999735116, 2.294329000549752"
Berceau des Rois Bagneux - Egalité 1,Micro crèche,1 RUE DE L EGALITE,92220,BAGNEUX,92007,,Privé,Société BDR 92 Bagneux 1 Egalité,12.0,,2.5,4.0,,"{""coordinates"": [2.30737100009108, 48.80063699996256], ""type"": ""Point""}","48.80063699996256, 2.30737100009108"
Berceau des Rois Bagneux - Egalité 2,Micro crèche,1 RUE DE L EGALITE,92220,BAGNEUX,92007,,Privé,Société BDR 92 Bagneux 1 Egalité,12.0,,2.5,4.0,,"{""coordinates"": [2.30737100009108, 48.80063699996256], ""type"": ""Point""}","48.80063699996256, 2.30737100009108"
Berceau des Rois Malakoff,Micro crèche,32 AVENUE AUGUSTIN DUMONT,92240,MALAKOFF,92046,09 84 00 15 96,Privé,Société BDR 92 Malakoff 32 Dumont,12.0,,2.5,4.0,,"{""coordinates"": [2.301542999735349, 48.81821300034277], ""type"": ""Point""}","48.81821300034277, 2.301542999735349"
Boulogne-Billancourt,Multi-accueil,43 45 AVENUE EDOUARD VAILLANT,92100,BOULOGNE BILLANCOURT,92012,01 41 05 53 90,Privé,Société LPCR Groupe,36.0,,2.5,4.0,,"{""coordinates"": [2.251187000114559, 48.83582900017613], ""type"": ""Point""}","48.83582900017613, 2.251187000114559"
Boulogne-Billancourt Bellevue,Multi-accueil,95 BIS 97 RUE DE BELLEVUE,92100,BOULOGNE BILLANCOURT,92012,01 46 21 20 76,Privé,Société LPCR Groupe,24.0,,2.5,4.0,,"{""coordinates"": [2.2315179995981365, 48.83354000021162], ""type"": ""Point""}","48.83354000021162, 2.2315179995981365"
Boulogne-Billancourt Clamart (MC),Micro crèche,7 RUE DE CLAMART,92100,BOULOGNE BILLANCOURT,92012,01 80 87 43 90,Privé,Société Crèches de France,10.0,,2.5,4.0,,"{""coordinates"": [2.2441700005209633, 48.83067700017736], ""type"": ""Point""}","48.83067700017736, 2.2441700005209633"
