nom,type,adresse,code_postal,commune,code_insee,tel,gestion,gestionnaire,capacite,nb_accueil_fam,age_mini_mois,age_maxi_annee,handicap,geo_shape,geo_point_2d
A Petit Pas,Multi-accueil,17 RUE EUGENIE CARMIGNAT,92270,BOIS COLOMBES,92009,,Commune,Commune de Bois-Colombes,50.0,,2.5,4.0,,"{""coordinates"": [2.273703999542301, 48.92592299964474], ""type"": ""Point""}","48.92592299964474, 2.273703999542301"
Aglaé,Accueil familial,19 RUE DES QUATRE VENTS,92380,GARCHES,92033,01 47 41 37 73,Associatif,Association Aglaé,25.0,25.0,2.5,4.0,,"{""coordinates"": [2.1951949999715676, 48.84818700015156], ""type"": ""Point""}","48.84818700015156, 2.1951949999715676"
Anne de Gaulle,Multi-accueil,24 BOULEVARD CHARLES DE GAULLE,92120,MONTROUGE,92049,01 46 12 76 64,Commune,Commune de Montrouge,70.0,,2.5,4.0,6.0,"{""coordinates"": [2.327779999771761, 48.81548900029998], ""type"": ""Point""}","48.81548900029998, 2.327779999771761"
Anne Sylvestre,Multi-accueil,5 RUE OLYMPE DE GOUGES,92600,ASNIERES SUR SEINE,92004,01 41 11 16 00,Commune,Commune d'Asnières-sur-Seine,60.0,,2.5,4.0,5.0,"{""coordinates"": [2.318023000521677, 48.91839300002703], ""type"": ""Point""}","48.91839300002703, 2.318023000521677"
Arche de Noé,Multi-accueil,26 RUE SAULNIER,92800,PUTEAUX,92062,01 49 01 13 80,Commune,Commune de Puteaux,48.0,,2.5,4.0,,"{""coordinates"": [2.2407509998650057, 48.88144799991898], ""type"": ""Point""}","48.88144799991898, 2.2407509998650057"
Asnières-sur-Seine Faidherbe,Micro crèche,16 AVENUE FAIDHERBE,92600,ASNIERES SUR SEINE,92004,,Privé,Société LPCR Groupe,12.0,,2.5,4.0,5.0,"{""coordinates"": [2.2669740000323055, 48.90770600040483], ""type"": ""Point""}","48.90770600040483, 2.2669740000323055"
Asnières-sur-Seine Pierre Brossolette,Multi-accueil,9 RUE PIERRE BROSSOLETTE,92600,ASNIERES SUR SEINE,92004,01 47 98 43 70,Privé,Société LPCR 2,25.0,,2.5,4.0,,"{""coordinates"": [2.2910509998335713, 48.91081200041054], ""type"": ""Point""}","48.91081200041054, 2.2910509998335713"
Au Jardin du Bonheur,Micro crèche,80 82 RUE ANATOLE FRANCE,92300,LEVALLOIS,92044,09 86 59 65 65,Privé,Société Au Jardin du Bonheur,12.0,,2.5,4.0,,"{""coordinates"": [2.2843769996750547, 48.89291599974587], ""type"": ""Point""}","48.89291599974587, 2.2843769996750547"
Au Pays des Merveilles,Crèche parentale,39 RUE DE LA GARENNE,92310,SEVRES,92072,,Associatif,Association Au Pays des Merveilles Crèche Parentale,12.0,,2.5,4.0,,"{""coordinates"": [2.2120170004672017, 48.8142560003143], ""type"": ""Point""}","48.8142560003143, 2.2120170004672017"
Babilou Boulogne Gallieni 134,Multi-accueil,134 RUE GALLIENI,92100,BOULOGNE BILLANCOURT,92012,01 46 05 06 44,Privé,Société Evancia,22.0,,2.5,4.0,5.0,"{""coordinates"": [2.237218999925549, 48.836340000157186], ""type"": ""Point""}","48.836340000157186, 2.237218999925549"
Babilou Châtillon Liberté,Multi-accueil,53 55 BOULEVARD DE LA LIBERTE,92320,CHATILLON,92020,,Privé,Société Evancia,52.0,,2.5,4.0,5.0,"{""coordinates"": [2.2935240003243287, 48.801188000197726], ""type"": ""Point""}","48.801188000197726, 2.2935240003243287"
Babilou Clichy Chance Milly,Multi-accueil,28 RUE CHANCE MILLY,92110,CLICHY,92024,,Privé,Société Evancia,20.0,,2.5,4.0,5.0,"{""coordinates"": [2.3035650005444506, 48.89725099966093], ""type"": ""Point""}","48.89725099966093, 2.3035650005444506"
Babilou Colombes Barbusse,Multi-accueil,102 AVENUE HENRI BARBUSSE,92700,COLOMBES,92025,,Privé,Société Evancia,41.0,,2.5,4.0,,"{""coordinates"": [2.252585999803177, 48.91674799978645], ""type"": ""Point""}","48.91674799978645, 2.252585999803177"
Babilou Neuilly Sablonville,Multi-accueil,15 RUE DE SABLONVILLE,92200,NEUILLY SUR SEINE,92051,01 47 22 56 03,Privé,Société Evancia,13.0,,2.5,4.0,5.0,"{""coordinates"": [2.2801840002195046, 48.88051800042544], ""type"": ""Point""}","48.88051800042544, 2.2801840002195046"
Babilou Puteaux Vaillant,Multi-accueil,5 RUE EDOUARD VAILLANT,92800,PUTEAUX,92062,01 47 74 70 29,Privé,Société Evancia,35.0,,2.5,4.0,5.0,"{""coordinates"": [2.2426629996245127, 48.88632599984156], ""type"": ""Point""}","48.88632599984156, 2.2426629996245127"
Babilou Puteaux Verdun,Multi-accueil,114 116 RUE DE VERDUN,92800,PUTEAUX,92062,01 45 06 57 78,Privé,Société Evancia,34.0,,2.5,4.0,5.0,"{""coordinates"": [2.2343880002374883, 48.8778550002054], ""type"": ""Point""}","48.8778550002054, 2.2343880002374883"
Babypop - Colombes,Micro crèche,18 20 PLACE HENRI NEVEU,92700,COLOMBES,92025,09 83 22 71 57,Privé,Société Babypop One,10.0,,2.5,4.0,,"{""coordinates"": [2.2554510006616195, 48.92234900007587], ""type"": ""Point""}","48.92234900007587, 2.2554510006616195"
Bambolino,Multi-accueil,20 RUE HENRI MARTIN,92100,BOULOGNE BILLANCOURT,92012,01 46 08 54 91,Associatif,Société Douces Crèches,35.0,,16.0,4.0,5.0,"{""coordinates"": [2.251693999708044, 48.83763700012206], ""type"": ""Point""}","48.83763700012206, 2.251693999708044"
Bambou,Multi-accueil,106 AVENUE ARISTIDE BRIAND,92120,MONTROUGE,92049,01 46 54 05 74,Privé,Commune de Montrouge,60.0,,2.5,4.0,5.0,"{""coordinates"": [2.325621000075682, 48.81409299999857], ""type"": ""Point""}","48.81409299999857, 2.325621000075682"
Berceau des rois Clichy Bateliers,Micro crèche,19 RUE DES BATELIERS,92110,CLICHY,92024,,Privé,Société BDR 92 Clichy 19 Bateliers,12.0,,2.5,4.0,,"{""coordinates"": [2.3043170005944424, 48.90662200018001], ""type"": ""Point""}","48.90662200018001, 2.3043170005944424"
Berlingot,Multi-accueil,6 RUE MAHIAS,92100,BOULOGNE BILLANCOURT,92012,01 55 18 50 10,Commune,Commune de Boulogne-Billancourt,35.0,,2.5,4.0,,"{""coordinates"": [2.234405000566323, 48.845307000378135], ""type"": ""Point""}","48.845307000378135, 2.234405000566323"
Boulogne Galliéni 85,Micro crèche,85 RUE GALLIENI,92100,BOULOGNE BILLANCOURT,92012,01 46 05 89 46,Privé,Société Evancia,10.0,,2.5,4.0,5.0,"{""coordinates"": [2.2446150005942886, 48.837106999846526], ""type"": ""Point""}","48.837106999846526, 2.2446150005942886"
Boulogne-Billancourt Edouard Vaillant (MC),Micro crèche,41 RUE EDOUARD VAILLANT,92100,BOULOGNE BILLANCOURT,92012,01 80 87 42 80,Privé,Société Crèches de France,12.0,,2.5,4.0,,"{""coordinates"": [2.251354999685382, 48.83588099960289], ""type"": ""Point""}","48.83588099960289, 2.251354999685382"
Bulles de Crèches,Micro crèche,5 PROMENADE SAINT LEUFROY,92150,SURESNES,92073,,Privé,Société Le Manège Enchanté,11.0,,2.5,4.0,,"{""coordinates"": [2.2252020004017394, 48.86866500004769], ""type"": ""Point""}","48.86866500004769, 2.2252020004017394"
Caramel,Multi-accueil,1 ALLEE HENRI BARBUSSE,92320,CHATILLON,92020,01 46 56 98 63,Commune,Commune de Châtillon,29.0,,2.5,4.0,,"{""coordinates"": [2.2874550000287157, 48.80188399976156], ""type"": ""Point""}","48.80188399976156, 2.2874550000287157"
Caramel et Nougatine,Multi-accueil,80 RUE JEAN BLEUZEN,92170,VANVES,92075,01 46 44 97 41,Commune,Commune de Vanves,42.0,,2.5,4.0,,"{""coordinates"": [2.2971330006247728, 48.82299299968712], ""type"": ""Point""}","48.82299299968712, 2.2971330006247728"
Champs-Philippe,Micro crèche,70 RUE DES CHAMPS PHILIPPE,92250,LA GARENNE COLOMBES,92035,,Privé,Société Mer & Terre,12.0,,2.5,4.0,,"{""coordinates"": [2.2363040005450388, 48.905175999782585], ""type"": ""Point""}","48.905175999782585, 2.2363040005450388"
Claude Boujon,Multi-accueil,27 BIS AVENUE VICTOR CRESSON,92130,ISSY LES MOULINEAUX,92040,01 46 42 26 89,Commune,Commune d'Issy-les-Moulineaux,50.0,,2.5,4.0,5.0,"{""coordinates"": [2.2692070005651956, 48.82284000020672], ""type"": ""Point""}","48.82284000020672, 2.2692070005651956"
Courbevoie Donatello,Multi-accueil,1 RUE DONATELLO,92400,COURBEVOIE,92026,01 46 67 15 19,Commune,Commune de Courbevoie,60.0,,2.5,4.0,,"{""coordinates"": [2.237804000649755, 48.900065999990815], ""type"": ""Point""}","48.900065999990815, 2.237804000649755"
Cours Seguin,Multi-accueil,13 COURS DE L ILE SEGUIN,92100,BOULOGNE BILLANCOURT,92012,01 46 20 17 57,Commune,Commune de Boulogne-Billancourt,80.0,,2.5,4.0,5.0,"{""coordinates"": [2.236174999728937, 48.82865999980369], ""type"": ""Point""}","48.82865999980369, 2.236174999728937"
Crèche Beth Hilel,Multi-accueil,89 RUE CARNOT,92300,LEVALLOIS,92044,01 55 63 83 50,Associatif,Association Gan Menahem,51.0,,2.5,4.0,,"{""coordinates"": [2.2848829997135045, 48.89364100035168], ""type"": ""Point""}","48.89364100035168, 2.2848829997135045"
Crèche de Bellevue,Multi-accueil,43 AVENUE DU 11 NOVEMBRE,92190,MEUDON,92048,01 45 07 69 70,Commune,Commune de Meudon,60.0,,2.5,4.0,,"{""coordinates"": [2.2211249994846143, 48.817471000293935], ""type"": ""Point""}","48.817471000293935, 2.2211249994846143"
Crèche de l'avenue de la Gare,Multi-accueil,12 AVENUE DE LA GARE,92330,SCEAUX,92071,01 46 60 04 58,Commune,Commune de Sceaux,42.0,,2.5,4.0,5.0,"{""coordinates"": [2.2825870003263407, 48.78016400021313], ""type"": ""Point""}","48.78016400021313, 2.2825870003263407"
Crèche du Moulin,Multi-accueil,15 17 AVENUE DE LA DIVISION LECLERC,92310,SEVRES,92072,,Commune,Commune de Sèvres,99.0,34.0,2.5,4.0,5.0,"{""coordinates"": [2.2198120006158915, 48.82590699964461], ""type"": ""Point""}","48.82590699964461, 2.2198120006158915"
Crèche familiale Tony Lainé,Accueil familial,18 22 RUE BENOIT MALON,92290,CHATENAY MALABRY,92019,01 45 37 08 36,Commune,Commune de Châtenay-Malabry,50.0,50.0,2.5,4.0,5.0,"{""coordinates"": [2.2560230003226702, 48.762991000189736], ""type"": ""Point""}","48.762991000189736, 2.2560230003226702"
Crèche Montessori Little Lions Clichy,Multi-accueil,25 RUE MOZART - RUE WILLY BRANDT,92110,CLICHY,92024,,Privé,Société Montessori Little Lions Clichy,24.0,,2.5,4.0,,"{""coordinates"": [2.315687999467514, 48.905651000302875], ""type"": ""Point""}","48.905651000302875, 2.315687999467514"
Crèche Pomme d'Api - Nanterre,Multi-accueil,403 AVENUE DE LA REPUBLIQUE,92000,NANTERRE,92050,01 47 69 66 44,Public autre,Centre d'accueil et de soins hospitaliers,84.0,,2.5,4.0,5.0,"{""coordinates"": [2.22321799953619, 48.912628000311734], ""type"": ""Point""}","48.912628000311734, 2.22321799953619"
Grandir et s'épanouir,Multi-accueil,107 RUE MARCEL DASSAULT,92100,BOULOGNE BILLANCOURT,92012,09 50 10 41 68,Associatif,Association Grandir et s'épanouir,50.0,,2.5,4.0,,"{""coordinates"": [2.2471400000438835, 48.83327899970905], ""type"": ""Point""}","48.83327899970905, 2.2471400000438835"
Halte Bellevue,Multi-accueil,43 AVENUE DU 11 NOVEMBRE,92190,MEUDON,92048,01 45 07 10 47,Commune,Commune de Meudon,20.0,,2.5,4.0,,"{""coordinates"": [2.2211249994846143, 48.817471000293935], ""type"": ""Point""}","48.817471000293935, 2.2211249994846143"
Helen Keller,Multi-accueil,34 RUE DANTON,92240,MALAKOFF,92046,,Commune,Commune de Malakoff,60.0,,2.5,4.0,5.0,"{""coordinates"": [2.2994219995976786, 48.82191300000676], ""type"": ""Point""}","48.82191300000676, 2.2994219995976786"
Henri Barbusse,Multi-accueil,72 RUE HENRI BARBUSSE,92110,CLICHY,92024,01 47 37 72 87,Commune,Commune de Clichy,55.0,10.0,2.5,4.0,5.0,"{""coordinates"": [2.3087669995127884, 48.90115500043939], ""type"": ""Point""}","48.90115500043939, 2.3087669995127884"
Hippolyte Mulin,Multi-accueil,19 RUE HIPPOLYTE MULIN,92120,MONTROUGE,92049,01 46 12 76 68,Commune,Commune de Montrouge,59.0,,2.5,4.0,6.0,"{""coordinates"": [2.3113070003302485, 48.811858999650475], ""type"": ""Point""}","48.811858999650475, 2.3113070003302485"
Jardin de découverte Louis Pasteur,Multi-accueil,5 RUE LOUIS PASTEUR,92300,LEVALLOIS,92044,,Commune,Commune de Levallois,37.0,,20.0,4.0,5.0,"{""coordinates"": [2.285482999786919, 48.89326199985309], ""type"": ""Point""}","48.89326199985309, 2.285482999786919"
Jardin d'Enfants Henri Ginoux,Multi-accueil,105 AVENUE HENRI GINOUX,92120,MONTROUGE,92049,01 49 85 37 74,Commune,Commune de Montrouge,35.0,,20.0,4.0,6.0,"{""coordinates"": [2.3202229995843324, 48.8139299998432], ""type"": ""Point""}","48.8139299998432, 2.3202229995843324"
Jardin d'Enfants Niox Château,Multi-accueil,168 RUE DE PARIS,92100,BOULOGNE BILLANCOURT,92012,01 55 18 60 53,Commune,Commune de Boulogne-Billancourt,60.0,,2.5,4.0,5.0,"{""coordinates"": [2.2327939998491484, 48.841583000423235], ""type"": ""Point""}","48.841583000423235, 2.2327939998491484"
Jardin d'Eveil Le Point du Jour,Multi-accueil,137 RUE LES ENFANTS DU PARADIS,92100,BOULOGNE BILLANCOURT,92012,01 55 18 64 60,Commune,Commune de Boulogne-Billancourt,20.0,,2.5,4.0,,"{""coordinates"": [2.2569450003711964, 48.83294299982318], ""type"": ""Point""}","48.83294299982318, 2.2569450003711964"
Jean Bonal,Multi-accueil,30 32 RUE JEAN BONAL,92250,LA GARENNE COLOMBES,92035,01 72 42 40 63,Commune,Commune de la Garenne-Colombes,84.0,,2.5,4.0,,"{""coordinates"": [2.25110400045779, 48.90712099999411], ""type"": ""Point""}","48.90712099999411, 2.25110400045779"
Jean Moulin,Multi-accueil,61 BOULEVARD EMILE ZOLA,92000,NANTERRE,92050,01 47 21 78 41,Associatif,Fondation Jean Moulin,40.0,,2.5,4.0,,"{""coordinates"": [2.213665000351877, 48.89581700027112], ""type"": ""Point""}","48.89581700027112, 2.213665000351877"
Joséphine,Multi-accueil,6 RUE JEAN EDELINE,92500,RUEIL MALMAISON,92063,,Privé,Société La Maison Bleue - 163,16.0,,2.5,4.0,5.0,"{""coordinates"": [2.184944000283556, 48.878265000359825], ""type"": ""Point""}","48.878265000359825, 2.184944000283556"
Koala Kids,Micro crèche,14 AVENUE DE LA CRISTALLERIE,92310,SEVRES,92072,01 46 89 18 05,Privé,Société Extracub,10.0,,4.0,4.0,,"{""coordinates"": [2.220731000541545, 48.8262879999646], ""type"": ""Point""}","48.8262879999646, 2.220731000541545"
Kot Kot Boulogne 101,Micro crèche,101 RUE DE PARIS,92100,BOULOGNE BILLANCOURT,92012,,Privé,Société Enfance Conseil,12.0,,2.5,4.0,,"{""coordinates"": [2.238466999345913, 48.84144899957459], ""type"": ""Point""}","48.84144899957459, 2.238466999345913"
Kotkot,Micro crèche,75 RUE YVES KERMEN,92100,BOULOGNE BILLANCOURT,92012,09 83 04 08 87,Privé,Société Enfance Conseil,10.0,,4.0,4.0,,"{""coordinates"": [2.2394660004555034, 48.82807099996515], ""type"": ""Point""}","48.82807099996515, 2.2394660004555034"
La cabane d'Achille et Camille,Micro crèche,27 AVENUE DU MARECHAL JOFFRE,92000,NANTERRE,92050,01 47 24 68 21,Privé,Société Emalyss,10.0,,2.5,4.0,,"{""coordinates"": [2.197522999464043, 48.88561000009319], ""type"": ""Point""}","48.88561000009319, 2.197522999464043"
La Cabane de Bois-Colombes,Micro crèche,2 BIS RUE JEAN JAURES,92270,BOIS COLOMBES,92009,01 78 99 08 44,Privé,Société Kameram,12.0,,2.5,4.0,5.0,"{""coordinates"": [2.27173999934659, 48.911141999980345], ""type"": ""Point""}","48.911141999980345, 2.27173999934659"
La Cabane des Princes,Micro crèche,36 RUE DU CHÂTEAU,92100,BOULOGNE BILLANCOURT,92012,,Privé,Société Kameram,12.0,,2.5,4.0,5.0,"{""coordinates"": [2.2506369994379085, 48.84438800017843], ""type"": ""Point""}","48.84438800017843, 2.2506369994379085"
La Clairière,Multi-accueil,112 RUE ARISTIDE BRIAND,92300,LEVALLOIS,92044,01 47 15 77 50,Commune,Commune de Levallois,60.0,,2.5,4.0,5.0,"{""coordinates"": [2.293185000045819, 48.89444399975288], ""type"": ""Point""}","48.89444399975288, 2.293185000045819"
La Clé des Champs - L'Eau Vive,Multi-accueil,77 RUE PROSPER LEGOUTE,92160,ANTONY,92002,01 40 96 64 82,Commune,Commune d'Antony,45.0,,2.5,4.0,5.0,"{""coordinates"": [2.29604300039096, 48.74477099956766], ""type"": ""Point""}","48.74477099956766, 2.29604300039096"
La Comptine - Arc en Ciel,Multi-accueil,15 AVENUE FONTAINE MOUTON,92160,ANTONY,92002,01 46 68 25 77,Commune,Commune d'Antony,55.0,,2.5,4.0,6.0,"{""coordinates"": [2.2907372284964085, 48.73765831005566], ""type"": ""Point""}","48.73765831005566, 2.2907372284964085"
La Comptine - Farandole,Multi-accueil,15 AVENUE FONTAINE MOUTON,92160,ANTONY,92002,01 46 68 25 77,Commune,Commune d'Antony,55.0,,2.5,4.0,6.0,"{""coordinates"": [2.290753384189093, 48.737658409894905], ""type"": ""Point""}","48.737658409894905, 2.290753384189093"
La crèche des Fées,Multi-accueil,28 30 RUE LUCIEN VOILIN,92800,PUTEAUX,92062,01 47 49 87 60,Commune,Commune de Puteaux,60.0,,2.5,4.0,,"{""coordinates"": [2.2366260003211083, 48.88249699997896], ""type"": ""Point""}","48.88249699997896, 2.2366260003211083"
La Crèche Niox Château,Multi-accueil,168 RUE DE PARIS,92100,BOULOGNE BILLANCOURT,92012,01 55 18 60 50,Commune,Commune de Boulogne-Billancourt,82.0,,2.5,4.0,,"{""coordinates"": [2.2327939998491484, 48.841583000423235], ""type"": ""Point""}","48.841583000423235, 2.2327939998491484"
La Maison de l'Enfant,Multi-accueil,16 BOULEVARD CHARLES DE GAULLE,92390,VILLENEUVE LA GARENNE,92078,01 41 47 34 50,Associatif,Mutuelle la Mayotte,15.0,,18.0,5.0,5.0,"{""coordinates"": [2.3303890003987004, 48.937093999959025], ""type"": ""Point""}","48.937093999959025, 2.3303890003987004"
La Micro Chouette de Rothschild,Micro crèche,11/13 RUE SALOMON DE ROTHSCHILD,92150,SURESNES,92073,,Privé,Société Codesa,12.0,,2.5,4.0,,"{""coordinates"": [2.2339729997697257, 48.87446100026795], ""type"": ""Point""}","48.87446100026795, 2.2339729997697257"
La Petite Ourse,Multi-accueil,2 ALLEE DES VILLES JUMELEES,92210,SAINT CLOUD,92064,01 47 71 07 05,Commune,Commune de Saint-Cloud,25.0,,2.5,4.0,5.0,"{""coordinates"": [2.208401999541668, 48.84840600019831], ""type"": ""Point""}","48.84840600019831, 2.208401999541668"
La Petite Sirène,Multi-accueil,66 AVENUE BERNARD PALISSY,92210,SAINT CLOUD,92064,01 47 71 03 95,Commune,Commune de Saint-Cloud,74.0,,2.5,4.0,5.0,"{""coordinates"": [2.222477999651, 48.85773899970318], ""type"": ""Point""}","48.85773899970318, 2.222477999651"
Ladybird,Multi-accueil,58 RUE GOUNOD,92210,SAINT CLOUD,92064,01 47 71 14 65,Privé,Société Microbaby,36.0,,2.5,4.0,5.0,"{""coordinates"": [2.209044000641397, 48.84264799957974], ""type"": ""Point""}","48.84264799957974, 2.209044000641397"
Le Berceau des rois,Micro crèche,89 RUE DES MOURINOUX,92600,ASNIERES SUR SEINE,92004,,Privé,Société BDR 92 Asnières 89 Mourinoux,10.0,,2.5,4.0,,"{""coordinates"": [2.2747639995683353, 48.93000799977719], ""type"": ""Point""}","48.93000799977719, 2.2747639995683353"
Le Fort Enchanté,Multi-accueil,25 RUE VICTOR HUGO,92220,BAGNEUX,92007,,Public autre,IGESA,60.0,,2.5,4.0,,"{""coordinates"": [2.3233480004883673, 48.80536100026049], ""type"": ""Point""}","48.80536100026049, 2.3233480004883673"
Le Jardin Etoilé,Multi-accueil,18 20 RUE DES BAS ROGERS,92800,PUTEAUX,92062,01 47 28 88 95,Privé,Société Le Jardin Etoilé,24.0,,2.5,4.0,,"{""coordinates"": [2.2341849998749055, 48.87980700012685], ""type"": ""Point""}","48.87980700012685, 2.2341849998749055"
Le Parc (crèche collective),Multi-accueil,45 RUE NATIONALE,92100,BOULOGNE BILLANCOURT,92012,01 55 18 47 01,Commune,Commune de Boulogne-Billancourt,60.0,,2.5,4.0,,"{""coordinates"": [2.241340999449205, 48.82780199964184], ""type"": ""Point""}","48.82780199964184, 2.241340999449205"
Le Petit Prince,Multi-accueil,298 AVENUE DES GRESILLONS,92600,ASNIERES SUR SEINE,92004,,Commune,Commune d'Asnières-sur-Seine,40.0,,2.5,4.0,,"{""coordinates"": [2.3174809993976297, 48.92057299973886], ""type"": ""Point""}","48.92057299973886, 2.3174809993976297"
Les aventuriers de Garches Buzenval,Micro crèche,107 RUE DE BUZENVAL,92360,GARCHES,92033,,Privé,Société LCMC,12.0,,2.5,4.0,,"{""coordinates"": [2.204387999946582, 48.85198899964244], ""type"": ""Point""}","48.85198899964244, 2.204387999946582"
Les Aventuriers de Levallois-Jean Zay,Micro crèche,2 PLACE JEAN ZAY,92300,LEVALLOIS,92044,,Privé,Société LCMC,12.0,,2.5,4.0,,"{""coordinates"": [2.2938119995067505, 48.89567099971976], ""type"": ""Point""}","48.89567099971976, 2.2938119995067505"
Les Aventuriers de Rueil-Malmaison-Colmar,Micro crèche,58 RUE D ESTIENNE D ORVES,92500,RUEIL MALMAISON,92063,,Privé,Société LCMC,12.0,,2.5,4.0,,"{""coordinates"": [2.1799039994098868, 48.88624900007541], ""type"": ""Point""}","48.88624900007541, 2.1799039994098868"
Les bébés-explorateurs,Multi-accueil,12 RUE LOUIS PHILIPPE,92200,NEUILLY SUR SEINE,92051,01 47 22 63 53,Privé,Société Microbaby,18.0,,2.5,4.0,,"{""coordinates"": [2.271925999408619, 48.88239399971112], ""type"": ""Point""}","48.88239399971112, 2.271925999408619"
Les Câlins,Multi-accueil,SQUARE D ORSAY,92800,PUTEAUX,92062,01 41 02 00 14,Commune,Commune de Puteaux,39.0,9.0,2.5,4.0,,"{""coordinates"": [2.246183999449769, 48.88332300031875], ""type"": ""Point""}","48.88332300031875, 2.246183999449769"
Les Colibris,Multi-accueil,33 RUE DESMONT DUPONT,92700,COLOMBES,92025,01 42 42 11 51,Commune,Commune de Colombes,60.0,,2.5,4.0,,"{""coordinates"": [2.2563549997113523, 48.92765500026879], ""type"": ""Point""}","48.92765500026879, 2.2563549997113523"
Les Dauphins,Multi-accueil,3 RUE AUGUSTE RODIN,92350,LE PLESSIS ROBINSON,92060,01 46 30 10 28,Commune,Commune du Plessis-Robinson,75.0,,2.5,4.0,,"{""coordinates"": [2.2522570003739877, 48.77734700028929], ""type"": ""Point""}","48.77734700028929, 2.2522570003739877"
Les Dominos,Multi-accueil,16 PLACE DES DOMINOS,92400,COURBEVOIE,92026,,Commune,Commune de Courbevoie,60.0,,2.5,4.0,5.0,"{""coordinates"": [2.252554999463134, 48.89035500036256], ""type"": ""Point""}","48.89035500036256, 2.252554999463134"
Les Explorateurs du Parchamp 1,Micro crèche,13 RUE DE L EGLISE,92100,BOULOGNE BILLANCOURT,92012,01 41 10 28 42,Privé,Société CRECHEO,11.0,,2.5,4.0,,"{""coordinates"": [2.2359679998011477, 48.84615899985616], ""type"": ""Point""}","48.84615899985616, 2.2359679998011477"
Les Galopins,Multi-accueil,5 RUE PALLOY,92110,CLICHY,92024,01 41 27 98 20,Commune,Commune de Clichy,31.0,10.0,2.5,4.0,5.0,"{""coordinates"": [2.307930000278343, 48.90251500025924], ""type"": ""Point""}","48.90251500025924, 2.307930000278343"
Les Goelands,Multi-accueil,20 RUE RAYMOND COSSON,92150,SURESNES,92073,01 47 72 11 69,Commune,Commune de Suresnes,53.0,,2.5,4.0,5.0,"{""coordinates"": [2.214074999620936, 48.86178600039049], ""type"": ""Point""}","48.86178600039049, 2.214074999620936"
Les Grenouilles,Micro crèche,5 RUE DE LA FONTAINE HENRI IV,92370,CHAVILLE,92022,,Associatif,Association Chaville Micro-crèche,10.0,,4.0,4.0,,"{""coordinates"": [2.193862999502311, 48.813609000021096], ""type"": ""Point""}","48.813609000021096, 2.193862999502311"
Les Lucioles,Multi-accueil,29 RUE NADAR,92500,RUEIL MALMAISON,92063,01 41 96 95 62,Commune,Commune de Rueil-Malmaison,80.0,,2.5,4.0,5.0,"{""coordinates"": [2.168641999342066, 48.87769099970537], ""type"": ""Point""}","48.87769099970537, 2.168641999342066"
Les Lutins,Multi-accueil,12 BIS ALLEE DES BOCHOUX,92150,SURESNES,92073,01 41 38 83 65,Commune,Commune de Suresnes,40.0,,2.5,4.0,5.0,"{""coordinates"": [2.2232640005757776, 48.88094999981905], ""type"": ""Point""}","48.88094999981905, 2.2232640005757776"
Les Moussaillons HG,Multi-accueil,41 BOULEVARD CHARLES DE GAULLE,92390,VILLENEUVE LA GARENNE,92078,01 47 98 87 77,Commune,Commune de Villeneuve-la-Garenne,20.0,,12.0,4.0,5.0,"{""coordinates"": [2.3269579999858974, 48.93873099966044], ""type"": ""Point""}","48.93873099966044, 2.3269579999858974"
Les Papillons d'Or,Multi-accueil,2 RUE MANON,92290,CHATENAY MALABRY,92019,,Commune,Commune de Châtenay-Malabry,71.0,,2.5,4.0,5.0,"{""coordinates"": [2.287293000275969, 48.76520500024033], ""type"": ""Point""}","48.76520500024033, 2.287293000275969"
Les Petites Canailles,Multi-accueil,16 RUE KLEBER,92130,ISSY LES MOULINEAUX,92040,,Privé,Société LPC ISSY,38.0,,2.5,4.0,,"{""coordinates"": [2.2730219998917414, 48.82604899973146], ""type"": ""Point""}","48.82604899973146, 2.2730219998917414"
Les petits artistes,Multi-accueil,30 36 RUE DU COLONEL GILLON,92120,MONTROUGE,92049,01 46 12 76 65,Commune,Commune de Montrouge,51.0,15.0,2.5,4.0,6.0,"{""coordinates"": [2.3193909997361675, 48.81938899975648], ""type"": ""Point""}","48.81938899975648, 2.3193909997361675"
Les Petits Bonnets,Multi-accueil,13 RUE BONNET,92110,CLICHY,92024,,Commune,Commune de Clichy,60.0,,2.5,4.0,,"{""coordinates"": [2.309650999389835, 48.89785300001627], ""type"": ""Point""}","48.89785300001627, 2.309650999389835"
Les Petits Chaperons Rouges,Multi-accueil,96 AVENUE DU GENERAL DE GAULLE,92250,LA GARENNE COLOMBES,92035,,Privé,Société LPCR Groupe,31.0,,2.5,4.0,,"{""coordinates"": [2.255506999575056, 48.907134000283776], ""type"": ""Point""}","48.907134000283776, 2.255506999575056"
Les Petits Chaperons Rouges - Le Plessis-Robinson,Multi-accueil,CENTRE D AFFAIRES LA BOURSIDIERE,92350,LE PLESSIS ROBINSON,92060,,Privé,Société LPCR Groupe,49.0,,2.5,4.0,,"{""coordinates"": [2.275486999959807, 48.78464699973959], ""type"": ""Point""}","48.78464699973959, 2.275486999959807"
Les Petits Chaperons Rouges Asnières Henri Barbusse,Petite crèche,106 AVENUE HENRI BARBUSSE,92600,ASNIERES SUR SEINE,92004,,Privé,Société LPCR Groupe,18.0,,2.5,4.0,5.0,"{""coordinates"": [2.2751229995353324, 48.911817000419006], ""type"": ""Point""}","48.911817000419006, 2.2751229995353324"
